,question,answer
0,What is Windows 10?,"Windows 10 is the name for Microsoft's next generation client operating system.
 
"
1,What happened to Windows 9?,"There was never a Windows 9, Microsoft skipped this number and went to 10 instead. Company officials decided to choose 10 because they believe this release is a 'Perfect 10' and to also signify this is the last major release of Windows. There will
 still be revisions of Windows 10 called Feature Updates, just don't expect there to be a Windows 11, Windows 12 etc. Initially revealed at BUILD 2014 as a minor update called ‘Threshold’, Windows 10 was originally intended be a minor Update 2 for Windows 8.1.
 Somewhere along the way, plans changed and the operating system evolved into the major revision we have today. 
 When will Windows 10 officially become available?  Microsoft launched Windows 10 world wide on July 29th 2015 at 12 AM EST. This is what Microsoft Program Manager for Windows, Terry Myerson had to say: 
 We continue to make great development progress and shared today that Windows 10 will be available this summer in 190 countries and 111 languages.
 
 Source: 
http://blogs.windows.com/bloggingwindows/2015/03/17/windows-10-launching-this-summer-in-190-countries-and-111-languages/#comment-21091
 
 Source: 
http://blogs.windows.com/bloggingwindows/2015/06/01/hello-world-windows-10-available-on-july-29/
 
"
2,What is the build number of the public release?,"Build 10240 Build 10586 Build 14393 Build 15063 current 
"
3,How do I know which build of Windows 10 I have installed?,"Resource: 
How to Verify
 If You Downloaded or Installed the Latest Version Windows 10  
 Is build 10240 of Windows 10 made available July 29th 2015 recommended for everyday use?
 The Windows 10 (which was made available to the general public on July 29th 2015) is a complete copy of the software that is designated as ready and fit for use in production environments. To reach this milestone, a particular build has to go through
 a series of thorough regression test and optimizations to reach a level of quality satisfactory for production. Unlike pre-release builds of Windows 10 the Windows 10 available today does not expire. 
 Please note, 10240 has been succeeded by newer Feature Updates. 
 
"
4,What does RTM mean?,"RTM means Release to Manufacturing; which is a milestone in software development. Not specifically relevant to Windows 10, but symbolically in the past, it determined when a build is ready for production environments where it can be deployed
 and be used for everyday computing and preloaded on new computers. 
"
5,Does Windows 10 require a Touch Screen?,"No, Windows 10 works just fine with mouse and keyboard. If you have a standard LCD or CRT monitor, it works just fine with that too. 
"
6,Is the Start Screen still available in Windows 10?,"See: 
How to: enable the Start screen in Windows 10  
"
7,Have the touch features been removed from Windows 10?,"No, they are there for devices that support it.  
"
8,Will I need to be connected to the Internet in order to use Windows 10?,"Windows 10 does not require an active Internet connection for everyday use. It works just fine offline and you can do everything you would normally do in Windows 7 or earlier.
 
 
 I have multiple computers, do I have to download Windows 10 on each computer?
 You can download a .ISO file and upgrade each computer offline.  
 How
 to: upgrade from previous versions of Windows using Windows 10 ISO file
 
 Please note,you can use the Media Creation Tool to create bootable media that can upgrade different versions, editions and architectures of Windows. This will require a USB thumb drive with at least 16 GBs of space.
 
 What
 are the editions of Windows 10 available?  
 Click HERE to download official ISO media for Windows 10 from Microsoft.
 
 I downloaded the .ISO file but I am being prompted to enter a product key when I start setup. Please note: The copy of Windows 10 you download must correspond with the edition of Windows you are upgrading from: 
 
 Does Windows 10 support Windows Server 2003 Domains?  Yes 
"
9,I am currently dual booting Windows and Linux; will the upgrade to Windows 10 affect my Linux installation?,"No 
 Learn more: 
How to: Upgrade a dual boot installation of Windows and Linux to Windows 10 - Part 1 
 
"
10,"I am on a slow connection, what options do I have?",
11,"See: How
 to: Upgrade to Windows 10 if you are on a slow or metered Internet connection?","
 I don't have a reliable Internet connection, suppose my computer is disconnected from the Internet during the download?
You will have to start the download again if you are downloading from Windows Update or you will need to redownload the ISO file. 
 
 
"
12,How do I troubleshoot Windows 10 installation messages?,"How to: Troubleshoot common Setup and Stop Errors during Windows 10 Installation 
"
13,Will I have the option of choosing a different drive or partition where I want the upgrade installed?,"With the full version of Windows 10, yes, you can perform a custom install by choosing which partition or drive you would like to install it on it on.
 
 Learn more: How to: Perform a custom installation
 of Windows 
"
